D,p, Pol
12, 5, 5*x^2 - 2*x + 5
28, 5, 5*x^2 +6*x + 5
33, 5, 5*x^2 - x + 5
57, 5, 5*x^2 + 9*x + 5
77, 5, 5*x^2 - x + 5
88, 5, 5*x^2 - x + 5
92, 5, 125*x^2 + 234*x + 125
93, 5, 125*x^2 - 246*x + 125
133, 5, 5*x^2 + 9*x + 5
152, 5, 5*x^2 + 9*x + 5
168, 5, 15625*x^4 - 15620*x^3 + 1014*x^2 - 15620*x + 15625
172, 5, 5*x^2 - 6*x + 5
177, 5, 125*x^2 - 191*x + 125
188, 5, 3125*x^2 + 474*x + 3125
213, 5, 78125*x^2 + 155114*x + 78125
217, 5, 125*x^2 - 246*x + 125
237, 5, 3125*x^2 - 4986*x + 3125
248, 5, 125*x^2 - 246*x + 125
253, 5, 125*x^2 + 74*x + 125
268, 5, 5*x^2 - 6*x + 5
273, 5, 244140625*x^4 + 35081250*x^3 - 386388061*x^2 + 35081250*x + 244140625
312, 5, 244140625*x^4 + 101969500*x^3 + 268283814*x^2 + 101969500*x + 244140625
332, 5, 125*x^2 + 234*x + 125
348, 5, 3814697265625*x^4 + 3353133010500*x^3 - 922457493034*x^2 + 3353133010500*x + 3814697265625
357, 5, 9765625*x^4 + 23851100*x^3 + 28649814*x^2 + 23851100*x + 9765625
377, 5, 25*x^4 + 81*x^3 + 113*x^2 + 81*x + 25
393, 5, 3125*x^2 + 4154*x + 3125
408, 5, 15625*x^4 + 16380*x^3 + 9974*x^2 + 16380*x + 15625
412, 5, 3125*x^2 + 474*x + 3125
413, 5, 125*x^2 - 191*x + 125
417, 5, 125*x^2 - 111*x + 125
428, 5, 125*x^2 + 234*x + 125
437, 5, 125*x^2 + 54*x + 125
453, 5, 78125*x^2 - 136086*x + 78125
472, 5, 125*x^2 - 191*x + 125
473, 5, 3125*x^6 - 9600*x^5 + 11640*x^4 - 10319*x^3 + 11640*x^2 - 9600*x + 3125
492, 5, 152587890625*x^4 - 533939737500*x^3 + 762704851526*x^2 - 533939737500*x + 152587890625
497, 5, 78125*x^2 + 155114*x + 78125
508, 5, 3125*x^2 + 474*x + 3125
517, 5, 3125*x^2 - 3001*x + 3125
537, 5, 3125*x^2 - 6071*x + 3125
552, 5, 3814697265625*x^4 - 12445656562500*x^3 + 17523767764694*x^2 - 12445656562500*x + 3814697265625
553, 5, 3125*x^2 - 4986*x + 3125
568, 5, 78125*x^6 + 139650*x^5 - 3485*x^4 - 137764*x^3 - 3485*x^2 + 139650*x + 78125
572, 5, 9765625*x^4 - 2903250*x^3 + 18209051*x^2 - 2903250*x + 9765625
573, 5, 1220703125*x^2 - 487589446*x + 1220703125
597, 5, 1953125*x^2 - 1228506*x + 1953125
632, 5, 3125*x^2 - 4986*x + 3125
633, 5, 125*x^2 + 39*x + 125
652, 5, 5*x^2 - 6*x + 5
668, 5, 48828125*x^2 + 68364392*x + 48828125
712, 5, 25*x^4 + 31*x^3 + 16*x^2 + 31*x + 25
713, 5, 1953125*x^2 - 3355686*x + 1953125
717, 5, 30517578125*x^2 - 57861538346*x + 30517578125
728, 5, 15625*x^4 - 16350*x^3 + 21899*x^2 - 16350*x + 15625
732, 5, 59604644775390625*x^4 + 31336313034437500*x^3 + 122788453052399046*x^2 + 31336313034437500*x + 59604644775390625
737, 5, 5*x^2 - x + 5
748, 5, 390625*x^4 - 863250*x^3 + 1106051*x^2 - 863250*x + 390625
753, 5, 78125*x^2 - 84961*x + 78125
777, 5, 59604644775390625*x^8 + 202927360888671875*x^7 + 354801493325125000*x^6 + 395581387854046205*x^5 + 391960716229748239*x^4 + 395581387854046205*x^3 + 354801493325125000*x^2 + 202927360888671875*x + 59604644775390625
