D,p, Pol
77, 3, 3*x^2 + 5*x + 3
161, 3, 27*x^2 + 38*x + 27
209, 3, 3*x^2 + 5*x + 3
221, 3, 9*x^4 - 2*x^3 - 5*x^2 - 2*x + 9
305, 3, 9*x^4 + 5*x^3 + 17*x^2 + 5*x + 9
329, 3, 243*x^2 - 298*x + 243
341, 3, 27*x^2 - 10*x + 27
377, 3, 9*x^4 - 5*x^3 + x^2 - 5*x + 9
413, 3, 27*x^2 + 5*x + 27
437, 3, 27*x^2 + 38*x + 27
473, 3, 243*x^6 + 360*x^5 - 240*x^4 - 725*x^3 - 240*x^2 + 360*x + 243
497, 3, 2187*x^2 - 4090*x + 2187
545, 3, 9*x^4 + 19*x^3 + 25*x^2 + 19*x + 9
581, 3, 27*x^2 + 29*x + 27
689, 3, 6561*x^8 - 11340*x^7 - 882*x^6 + 4333*x^5 + 2665*x^4 + 4333*x^3 - 
882*x^2 - 11340*x + 6561
713, 3, 19683*x^2 - 28234*x + 19683
737, 3, 3*x^2 + 5*x + 3
749, 3, 27*x^2 + 53*x + 27
869, 3, 243*x^2 - 475*x + 243
893, 3, 243*x^2 - 298*x + 243
917, 3, 243*x^2 - 355*x + 243
989, 3, 27*x^2 + 38*x + 27
